"id","item_number","description","cost","mode","type","active"
"10163","B-8088","ARIEL: SUC VLV, 70CRE,NYX,DS","619",NULL,"inventoryitem",True
"10164","B-8088-4","ARIEL: SUC VLV, 70CRE,NYX,DS","619",NULL,"inventoryitem",True
"10165","KB-2775-AA","ARIEL: AWAITING UPDATE & PRICING FROM VENDOR",NULL,NULL,"inventoryitem",True
"10166","A-2476","ARIEL: 18T-18T-12T","660.4",NULL,"inventoryitem",True
"10167","1N-8094","UPDATE",NULL,"Admin","inventoryitem",False
"10168","KB-1944-AA","ARIEL: KIT,VLV,102CT ,MTX,M/S","136",NULL,"inventoryitem",True
"10169","KB-8382","ARIEL: KIT,VLV,54CPS,CPP","170",NULL,"inventoryitem",True
"1017","3-01-5079-R","C-P VALVE REPAIR, DISCHARGE, 1",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"10170","KB-2714-T","ARIEL: KIT,VLV,168CT ,MTX","210",NULL,"inventoryitem",True
"10171","1P-0726","1P-0726","2.39",NULL,"inventoryitem",True
"10172","1 INCH CHECK VALVE","1 INCH CHECK VALVE","62.44",NULL,"inventoryitem",True
"10173","THERMO COUPLE","THERMO COUPLE","25",NULL,"inventoryitem",True
"10174","OPIFC-A-1000","OPIFC-A-1000","250",NULL,"inventoryitem",True
"10175","69112-1","UPDATE",NULL,NULL,"inventoryitem",True
"10176","100-6889","100-6889","37.29",NULL,"inventoryitem",True
"10177","6L-2849","6L-2849","81.47",NULL,"inventoryitem",True
"10178","3300 WATER PUMP CAT NEW","3300 WATER PUMP CAT NEW","1500",NULL,"inventoryitem",True
"10179","2X2 PRV 500 PSI MERCER PRV","INVALID PN ( DO NOT USE)",NULL,"Admin","inventoryitem",False
"1018","3-03-20210","3X VALVE SUC 3.5IN -4IN DA 7;",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"10180","5J-9715","5J-9715","731.81",NULL,"inventoryitem",True
"10181","2 7/16 KEY SHAFT","2 7/16 KEY SHAFT","100",NULL,"inventoryitem",True
"10182","CC-0394","CC-0394",NULL,NULL,"inventoryitem",True
"10183","6I-1703","6I-1703","1578.98",NULL,"inventoryitem",True
"10184","112922","112922",NULL,NULL,"inventoryitem",True
"10185","ERH-1824-2","ERH-1824-2",NULL,NULL,"inventoryitem",True
"10186","CATALYST GASKETS","CATALUST GASKETS","20",NULL,"inventoryitem",True
"10187","GLASS COCK VALVE","GAUGE COCK VALVE,1/2"" TANK, 5/8"" GLASS CONNECTION","93.69",NULL,"inventoryitem",True
"10188","8N22RAH-9BA","UPDATE",NULL,NULL,"inventoryitem",True
"10189","CAT ZIN FUEL VALVE","CAT ZIN FUEL VALVE",NULL,NULL,"inventoryitem",True
"1019","3-03-20274","3"""" GEMINI VLV D",NULL,"CONSUMABLE","inventoryitem",True
"10190","608-004R","UPDATE",NULL,NULL,"inventoryitem",True
"10191","206-1561","206-1561","2733.13",NULL,"inventoryitem",True
"10192","DR-5544","UPDATE",NULL,"Admin","inventoryitem",False
"10193","4L380","UPDATE","8",NULL,"inventoryitem",True
"10196","101-1168","101-1168","33.12",NULL,"inventoryitem",True
"10197","305995","UPDATE",NULL,NULL,"inventoryitem",True
"10198","06.80.340-T","SPARK PLUG; MOTORTECH","50","PM PARTS","inventoryitem",True
"10199","1062-7512","UPDATE",NULL,NULL,"inventoryitem",True
"102","0R-2670","HEAD  G379/398/399",NULL,"HEAD PROGRAM","inventoryitem",True
"1020","K-3-03-20274","GEMINI; VALVE KIT ",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"10200","687-0546","UPDATE",NULL,NULL,"inventoryitem",True
"10201","78E3772","UPDATE",NULL,NULL,"inventoryitem",True
"10202","B-7815","ARIEL: SUC VLV,98CP,CPP","1027",NULL,"inventoryitem",True
"10203","B-9150-HN","ARIEL: SUC VLV,54CPS,CPP","565",NULL,"inventoryitem",True
"10204","B-9151-HN","ARIEL: DIS VLV,54CPS,CPP","565",NULL,"inventoryitem",True
"10205","P165569","DONALDSON FILTER","114.52",NULL,"inventoryitem",True
"10206","218-7106","218-7106","1183.03",NULL,"inventoryitem",True
"10207","301-5794","301-5794","1501.82",NULL,"inventoryitem",True
"10208","425-1693","UPDATE","150",NULL,"inventoryitem",True
"10209","619-5409","CAT: EXHAUST BYPASS BELLOWS ","1044.55","CONSUMABLE","inventoryitem",True
"1021","3-03-20274KIT","GEMINI REPAIR KIT","21.25","CONSUMABLE","inventoryitem",True
"10210","6I-1732","CAT; GOVERNOR CONTROL LINKAGE VALVE, 3606/3608","6101.03","MAJOR COMPONENTS","inventoryitem",True
"10211","55093801","UPDATE",NULL,NULL,"inventoryitem",True
"10212","JRF1120-C","UPDATE","162",NULL,"inventoryitem",True
"10213","110-0096","110-0096","26.57",NULL,"inventoryitem",True
"10214","124-4273","124-4273","77.68",NULL,"inventoryitem",True
"10217","238-6646","238-6646","34.24",NULL,"inventoryitem",True
"10218","24063-BY","Insulated Continuous Duty, 24VDC, 85A, SPST Solenoid","62.27",NULL,"inventoryitem",True
"10219","2R-F5MN-SE","UPDATE","350",NULL,"inventoryitem",True
"1022","3-100018","NUT","5.16","CONSUMABLE","inventoryitem",True
"10220","336-C-75","UPDATE","25",NULL,"inventoryitem",True
"10221","431-9469","431-9469","142.96",NULL,"inventoryitem",True
"10222","437-4126","437-4126","93.5",NULL,"inventoryitem",True
