"unit_number","week","dt_hours","ma"
"HC11043","W19 - 23","0","100"
"HC11043","W18 - 23","0","100"
"HC11043","W17 - 23","0","100"
"HC11043","W16 - 23","0","100"
"HC11046","W53 - 23","0","100"
"HC11046","W52 - 23","0","100"
"HC11046","W51 - 23","0","100"
"HC11046","W49 - 23","0","100"
"HC11046","W48 - 23","0","100"
"HC11046","W47 - 23","0","100"
"HC11046","W46 - 23","0","100"
"HC11046","W45 - 23","0","100"
"HC11046","W44 - 23","0","100"
"HC11046","W43 - 23","0","100"
"HC11046","W42 - 23","0","100"
"HC11046","W41 - 23","0","100"
"HC11046","W40 - 23","0","100"
"HC11046","W39 - 23","0","100"
"HC11046","W38 - 23","0","100"
"HC11046","W37 - 23","0","100"
"HC11046","W36 - 23","0","100"
"HC11046","W35 - 23","0","100"
"HC11046","W34 - 23","0","100"
"HC11046","W33 - 23","0","100"
"HC11046","W32 - 23","0","100"
"HC11046","W31 - 23","0","100"
"HC11046","W30 - 23","0","100"
"HC11046","W29 - 23","0","100"
"HC11046","W28 - 23","0","100"
"HC11046","W27 - 23","0","100"
"HC11046","W26 - 23","0","100"
"HC11046","W25 - 23","0","100"
"HC11046","W24 - 23","0","100"
"HC11046","W23 - 23","0","100"
"HC11046","W22 - 23","0","100"
"HC11046","W21 - 23","0","100"
"HC11046","W20 - 23","0","100"
"HC11046","W19 - 23","0","100"
"HC11046","W18 - 23","0","100"
"HC11046","W17 - 23","0","100"
"HC11046","W16 - 23","0","100"
"HC11049","W53 - 23","0","100"
"HC11049","W52 - 23","0","100"
"HC11049","W51 - 23","0","100"
"HC11049","W49 - 23","0","100"
"HC11049","W48 - 23","0","100"
"HC11049","W47 - 23","0","100"
"HC11049","W46 - 23","0","100"
"HC11049","W45 - 23","0","100"
"HC11049","W44 - 23","0","100"
"HC11049","W43 - 23","0","100"
"HC11049","W42 - 23","0","100"
"HC11049","W41 - 23","0","100"
"HC11049","W40 - 23","0","100"
"HC11049","W39 - 23","0","100"
"HC11049","W38 - 23","0","100"
"HC11049","W37 - 23","0","100"
"HC11049","W36 - 23","0","100"
"HC11049","W35 - 23","0","100"
"HC11049","W34 - 23","0","100"
"HC11049","W33 - 23","0","100"
"HC11049","W32 - 23","0","100"
"HC11049","W31 - 23","0","100"
"HC11049","W30 - 23","0","100"
"HC11049","W29 - 23","0","100"
"HC11049","W28 - 23","0","100"
"HC11049","W27 - 23","0","100"
"HC11049","W26 - 23","0","100"
"HC11049","W25 - 23","0","100"
"HC11049","W24 - 23","0","100"
"HC11049","W23 - 23","0","100"
"HC11049","W22 - 23","0","100"
"HC11049","W21 - 23","0","100"
"HC11049","W20 - 23","0","100"
"HC11049","W19 - 23","0","100"
"HC11049","W18 - 23","0","100"
"HC11049","W17 - 23","0","100"
"HC11049","W16 - 23","0","100"
"HC11067","W53 - 23","0","100"
"HC11067","W52 - 23","0","100"
"HC11067","W51 - 23","0","100"
"HC11067","W49 - 23","0","100"
"HC11067","W48 - 23","0","100"
"HC11067","W47 - 23","0","100"
"HC11067","W46 - 23","0","100"
"HC11067","W45 - 23","0","100"
"HC11067","W44 - 23","0","100"
"HC11067","W43 - 23","0","100"
"HC11067","W42 - 23","0","100"
"HC11067","W41 - 23","0","100"
"HC11067","W40 - 23","0","100"
"HC11067","W39 - 23","0","100"
"HC11067","W38 - 23","0","100"
"HC11067","W37 - 23","0","100"
"HC11067","W36 - 23","0","100"
"HC11067","W35 - 23","0","100"
"HC11067","W34 - 23","0","100"
"HC11067","W33 - 23","0","100"
"HC11067","W32 - 23","0","100"
"HC11067","W31 - 23","0","100"
"HC11067","W30 - 23","0","100"
"HC11067","W29 - 23","0","100"
"HC11067","W28 - 23","0","100"
"HC11067","W27 - 23","0","100"
"HC11067","W26 - 23","0","100"
"HC11067","W25 - 23","0","100"
"HC11067","W24 - 23","0","100"
"HC11067","W23 - 23","0","100"
"HC11067","W22 - 23","0","100"
"HC11067","W21 - 23","0","100"
"HC11067","W20 - 23","0","100"
"HC11067","W19 - 23","0","100"
"HC11067","W18 - 23","0","100"
"HC11067","W17 - 23","0","100"
"HC11067","W16 - 23","0","100"
"HC11068","W53 - 23","0","100"
"HC11068","W52 - 23","0","100"
"HC11068","W51 - 23","0.07","99.96"
"HC11068","W49 - 23","3.32","98.03"
"HC11068","W48 - 23","24.76","85.26"
"HC11068","W47 - 23","0","100"
"HC11068","W46 - 23","0","100"
"HC11068","W45 - 23","0","100"
"HC11068","W44 - 23","5.7","96.61"
"HC11068","W43 - 23","0","100"
"HC11068","W42 - 23","0","100"
"HC11068","W41 - 23","0","100"
"HC11068","W40 - 23","0","100"
"HC11068","W39 - 23","0","100"
"HC11068","W38 - 23","0.69","99.59"
"HC11068","W37 - 23","0","100"
"HC11068","W36 - 23","0","100"
"HC11068","W35 - 23","0","100"
"HC11068","W34 - 23","0","100"
"HC11068","W33 - 23","0","100"
"HC11068","W32 - 23","0","100"
"HC11068","W31 - 23","0","100"
"HC11068","W30 - 23","0","100"
"HC11068","W29 - 23","0","100"
"HC11068","W28 - 23","0.4","99.76"
"HC11068","W27 - 23","0","100"
"HC11068","W26 - 23","0","100"
"HC11068","W25 - 23","0","100"
"HC11068","W24 - 23","0","100"
"HC11068","W23 - 23","0","100"
"HC11068","W22 - 23","0","100"
"HC11068","W21 - 23","0","100"
"HC11068","W20 - 23","3.43","97.96"
"HC11068","W19 - 23","0","100"
"HC11068","W18 - 23","0","100"
"HC11068","W17 - 23","0","100"
"HC11068","W16 - 23","0","100"
"HC11069","W53 - 23","0","100"
"HC11069","W52 - 23","0","100"
"HC11069","W51 - 23","0","100"
"HC11069","W49 - 23","0","100"
"HC11069","W48 - 23","0","100"
"HC11069","W47 - 23","0","100"
"HC11069","W46 - 23","0","100"
"HC11069","W45 - 23","0","100"
"HC11069","W44 - 23","0","100"
"HC11069","W43 - 23","0","100"
"HC11069","W42 - 23","0","100"
"HC11069","W41 - 23","0","100"
"HC11069","W40 - 23","0","100"
"HC11069","W39 - 23","0","100"
"HC11069","W38 - 23","0","100"
"HC11069","W37 - 23","0","100"
"HC11069","W36 - 23","0","100"
"HC11069","W35 - 23","0","100"
"HC11069","W34 - 23","0","100"
"HC11069","W33 - 23","0","100"
"HC11069","W32 - 23","0","100"
"HC11069","W31 - 23","0","100"
"HC11069","W30 - 23","0","100"
"HC11069","W29 - 23","0","100"
"HC11069","W28 - 23","0","100"
"HC11069","W27 - 23","0","100"
"HC11069","W26 - 23","0","100"
"HC11069","W25 - 23","0","100"
"HC11069","W24 - 23","0","100"
"HC11069","W23 - 23","0","100"
"HC11069","W22 - 23","0","100"
"HC11069","W21 - 23","0","100"
"HC11069","W20 - 23","0","100"
"HC11069","W19 - 23","0","100"
"HC11069","W18 - 23","0","100"
"HC11069","W17 - 23","0","100"
"HC11069","W16 - 23","0","100"
"HC11074","W53 - 23","0","100"
"HC11074","W52 - 23","0","100"
"HC11074","W51 - 23","0","100"
"HC11074","W49 - 23","0","100"
"HC11074","W48 - 23","0","100"
"HC11074","W47 - 23","0","100"
"HC11074","W46 - 23","0","100"
"HC11074","W45 - 23","0","100"
"HC11074","W44 - 23","0","100"
"HC11074","W43 - 23","0","100"
"HC11074","W42 - 23","0","100"
"HC11074","W41 - 23","0","100"
"HC11074","W40 - 23","0","100"
"HC11074","W39 - 23","0","100"
"HC11074","W38 - 23","0","100"
"HC11074","W37 - 23","0","100"
"HC11074","W36 - 23","0","100"
"HC11074","W35 - 23","0","100"
"HC11074","W34 - 23","0","100"
"HC11074","W33 - 23","0","100"
"HC11074","W32 - 23","0","100"
"HC11074","W31 - 23","0","100"
"HC11074","W30 - 23","0","100"
"HC11074","W29 - 23","0.48","99.71"
"HC11074","W28 - 23","0","100"
"HC11074","W27 - 23","0","100"
"HC11074","W26 - 23","0","100"
"HC11074","W25 - 23","0","100"
"HC11074","W24 - 23","0","100"
"HC11074","W23 - 23","0","100"
"HC11074","W22 - 23","0","100"
"HC11074","W21 - 23","0","100"
"HC11074","W20 - 23","0","100"
"HC11074","W19 - 23","0","100"
"HC11074","W18 - 23","0","100"
"HC11074","W17 - 23","0","100"
"HC11074","W16 - 23","0","100"
"HC11075","W53 - 23","0","100"
"HC11075","W52 - 23","0","100"
"HC11075","W51 - 23","0","100"
"HC11075","W49 - 23","0","100"
"HC11075","W48 - 23","0","100"
"HC11075","W47 - 23","0","100"
"HC11075","W46 - 23","0","100"
"HC11075","W45 - 23","0","100"
"HC11075","W44 - 23","0","100"
"HC11075","W43 - 23","0","100"
"HC11075","W42 - 23","0","100"
"HC11075","W41 - 23","0","100"
"HC11075","W40 - 23","0","100"
"HC11075","W39 - 23","0","100"
"HC11075","W38 - 23","0","100"
"HC11075","W37 - 23","0","100"
"HC11075","W36 - 23","0","100"
"HC11075","W35 - 23","0","100"
"HC11075","W34 - 23","0","100"
